County,GEOID,Atlas_Total_Disaster_Declarations,Atlas_Total_FEMA_PA_HM_Funding,Atlas_2024_Population,Atlas_Per_Capita_Funding,Atlas_CDC_SVI_2022,Disp_Total_Population,Disp_Equalization_Ratio,Disp_Total_Parcels,Disp_2024_Parcels_At_Risk,Disp_2024_Share_At_Risk,Disp_2024_Market_Value,Disp_2024_Property_Tax,Disp_2050_Parcels_At_Risk,Disp_2050_Share_At_Risk,Disp_2050_Market_Value,Disp_2050_Property_Tax,Disp_Crisis_Population,Disp_Crisis_Parcels,Disp_Crisis_Share,Disp_Crisis_Net_Value,Disp_Crisis_Market_Value,Disp_Crisis_Property_Tax,Disp_Emigrating_Population,Disp_Emigrating_Parcels,Disp_Emigrating_Share,Disp_Emigrating_Net_Value,Disp_Emigrating_Market_Value,Disp_Emigrating_Property_Tax,Disp_Destination_Population,Disp_Destination_Parcels,Disp_Destination_Share,Disp_Destination_Net_Value,Disp_Destination_Market_Value,Disp_Destination_Property_Tax,Disp_Stable_Population,Disp_Stable_Parcels,Disp_Stable_Share,Disp_Stable_Net_Value,Disp_Stable_Market_Value,Disp_Stable_Property_Tax,Disp_Pct_Change_2018_2023,Infra_Airports_Total,Infra_Airports_In_Floodplain_2025,Infra_Airports_Pct_2025,Infra_Airports_In_Floodplain_2050,Infra_Airports_Pct_2050,Infra_Hospitals_Total,Infra_Hospitals_In_Floodplain_2025,Infra_Hospitals_Pct_2025,Infra_Hospitals_In_Floodplain_2050,Infra_Hospitals_Pct_2050,Infra_Contaminated_Sites_Total,Infra_Contaminated_Sites_In_Floodplain_2025,Infra_Contaminated_Sites_Pct_2025,Infra_Contaminated_Sites_In_Floodplain_2050,Infra_Contaminated_Sites_Pct_2050,Infra_Libraries_Total,Infra_Libraries_In_Floodplain_2025,Infra_Libraries_Pct_2025,Infra_Libraries_In_Floodplain_2050,Infra_Libraries_Pct_2050,Infra_Parks_Total,Infra_Parks_In_Floodplain_2025,Infra_Parks_Pct_2025,Infra_Parks_In_Floodplain_2050,Infra_Parks_Pct_2050,Infra_Power_Plants_Total,Infra_Power_Plants_In_Floodplain_2025,Infra_Power_Plants_Pct_2025,Infra_Power_Plants_In_Floodplain_2050,Infra_Power_Plants_Pct_2050,Infra_Schools_Total,Infra_Schools_In_Floodplain_2025,Infra_Schools_Pct_2025,Infra_Schools_In_Floodplain_2050,Infra_Schools_Pct_2050,Infra_Hazardous_Waste_Total,Infra_Hazardous_Waste_In_Floodplain_2025,Infra_Hazardous_Waste_Pct_2025,Infra_Hazardous_Waste_In_Floodplain_2050,Infra_Hazardous_Waste_Pct_2050,Infra_Landfills_Total,Infra_Landfills_In_Floodplain_2025,Infra_Landfills_Pct_2025,Infra_Landfills_In_Floodplain_2050,Infra_Landfills_Pct_2050,Infra_Superfund_Sites_Total,Infra_Superfund_Sites_In_Floodplain_2025,Infra_Superfund_Sites_Pct_2025,Infra_Superfund_Sites_In_Floodplain_2050,Infra_Superfund_Sites_Pct_2050,Infra_Wastewater_Treatment_Total,Infra_Wastewater_Treatment_In_Floodplain_2025,Infra_Wastewater_Treatment_Pct_2025,Infra_Wastewater_Treatment_In_Floodplain_2050,Infra_Wastewater_Treatment_Pct_2050,NJ_Legislative,NJ_Congressional_Reps,Infra_Police_Stations_Total,Infra_Police_Stations_In_Floodplain_2025,Infra_Police_Stations_Pct_2025,Infra_Police_Stations_In_Floodplain_2050,Infra_Police_Stations_Pct_2050,Infra_Fire_Departments_Total,Infra_Fire_Departments_In_Floodplain_2025,Infra_Fire_Departments_Pct_2025,Infra_Fire_Departments_In_Floodplain_2050,Infra_Fire_Departments_Pct_2050,BlueAcres_Parcels,BlueAcres_Acres
Atlantic,34001,8,50974342,274339,186,0.85,244565.0,0.71,137316.0,41801.0,0.3,22838372642.84,269716298.5,53180.0,0.39,26473115029.55,333126294.8,67129.0,38205.0,0.28,11394485040.0,16048570478.87,209628199.73,14915.0,14973.0,0.11,7383541100.0,10399353662.0,123498095.0,122017.0,64249.0,0.47,12244695750.0,17246050352.0,328321437.0,38375.0,19679.0,0.14,4362876300.0,6144896197.0,131664362.4,106.47,5,1.0,20.0,1.0,20.0,18,5,27.8,8,44.4,284,128,45.1,150,52.8,17,6.0,35.3,7,41.2,99,74,74.7,77,77.8,17,6,35.3,6,35.3,99,17.0,17.2,25,25.3,11,0.0,0.0,0.0,0.0,34,1,2.9,4,11.8,6.0,0.0,0.0,0.0,0.0,3,2,66.7,2,66.7,"Testa, M. (1), Polistina, V. (2), Paul D. Moriarty (4), Michael Torrissi (8)","Van Drew, J. (2)",23,6,26.1,7,30.4,58,16,27.6,20,34.5,20,31.78
Bergen,34003,8,386547358,953243,406,0.44,907527.0,0.86,279807.0,15540.0,0.06,20789818719.34,301140961.5,35015.0,0.13,40298249769.78,657425132.0,45481.0,11302.0,0.04,14043168800.0,16329266046.51,254880696.32,67906.0,23713.0,0.08,20790638301.0,24175160815.0,402544435.7,230638.0,54204.0,0.19,31785901380.0,36960350442.0,720127459.5,563502.0,190568.0,0.68,128608284757.0,149544517159.0,2914831597.0,64.57,1,1.0,100.0,1.0,100.0,13,3,23.1,4,30.8,925,299,32.3,452,48.9,63,10.0,15.9,18,28.6,363,172,47.4,211,58.1,7,2,28.6,4,57.1,414,20.0,4.8,53,12.8,11,6.0,54.5,7.0,63.6,31,9,29.0,15,48.4,9.0,5.0,55.6,6.0,66.7,8,4,50.0,4,50.0,"Wimberly, B. (35), Sarlo, P. (36), Johnson, G. (37), Lagana, J. (38), Schepisi, H. (39), Corrado, K. (40)","Gottenheimer, J. (5)",74,12,16.2,22,29.7,135,16,11.9,35,25.9,54,10.77
Burlington,34005,8,21195327,461853,46,0.24,413563.0,0.79,172736.0,9285.0,0.05,2138279511.21,45296952.0,29077.0,0.17,8191099293.4,185419798.4,23258.0,12173.0,0.07,1926423435.0,2438510677.22,60818499.11,34638.0,16901.0,0.1,4541429577.0,5748645034.0,124585404.5,128926.0,51048.0,0.3,13146861830.0,16641597253.0,353119871.8,223599.0,92556.0,0.54,30057080746.0,38046937653.0,860825476.6,21.5,10,1.0,10.0,1.0,10.0,12,1,8.3,1,8.3,350,64,18.3,121,34.6,19,2.0,10.5,5,26.3,98,69,70.4,74,75.5,38,1,2.6,7,18.4,175,6.0,3.4,25,14.3,11,0.0,0.0,1.0,9.1,30,1,3.3,5,16.7,11.0,0.0,0.0,2.0,18.2,25,10,40.0,14,56.0,"Beach, J. (6), Singleton, T. (7), Tiver, L. (8)","Conaway, H. (3)",41,4,9.8,6,14.6,71,8,11.3,17,23.9,56,65.69
Camden,34007,5,10643598,522581,20,0.78,492894.0,0.81,189973.0,6435.0,0.03,1514854405.22,26146864.99,18126.0,0.1,4005021011.19,88415752.99,30014.0,13697.0,0.07,2217929746.0,2738184871.6,54843282.36,8972.0,3850.0,0.02,1006191434.0,1242211647.0,32839651.2,284812.0,106961.0,0.56,20731131730.0,25593989790.0,715596174.1,167265.0,63981.0,0.34,19537665612.0,24120574830.0,696927519.8,24.87,1,0.0,0.0,1.0,100.0,18,1,5.6,3,16.7,469,116,24.7,160,34.1,21,0.0,0.0,2,9.5,198,95,48.0,111,56.1,19,4,21.1,7,36.8,222,6.0,2.7,19,8.6,11,3.0,27.3,4.0,36.4,27,4,14.8,5,18.5,10.0,3.0,30.0,6.0,60.0,1,1,100.0,1,100.0,"Moriarty, P. (4), Cruz-Perez, N. (5), Beach, J. (6)","Norcross, D. (1)",45,4,8.9,8,17.8,68,3,4.4,9,13.2,0,0
Cape May,34009,8,54653243,95456,573,0.35,77166.0,0.63,94742.0,53134.0,0.56,55427787368.09,347803420.5,66862.0,0.71,68187405733.19,437101212.6,29173.0,46417.0,0.49,23046374400.0,36581546666.67,276696734.78,7770.0,20445.0,0.22,20245809500.0,32136205556.0,160404477.8,25269.0,17582.0,0.19,4724334100.0,7498943016.0,77556706.97,14948.0,10034.0,0.11,2379103800.0,3776355238.0,46210245.94,204.44,4,2.0,50.0,2.0,50.0,2,0,0.0,1,50.0,84,33,39.3,44,52.4,10,5.0,50.0,6,60.0,96,74,77.1,89,92.7,3,0,0.0,1,33.3,39,12.0,30.8,17,43.6,7,0.0,0.0,0.0,0.0,14,3,21.4,5,35.7,1.0,0.0,0.0,0.0,0.0,5,2,40.0,3,60.0,"Testa, M. (1)","Van Drew, J. (2)",14,8,57.1,10,71.4,34,17,50.0,20,58.8,0,0
Cumberland,34011,8,38255115,153588,249,0.98,142592.0,0.87,63398.0,4083.0,0.06,424705658.2,8412573.39,7680.0,0.12,1074467898.38,23652591.95,9066.0,7249.0,0.11,826133100.0,949578275.86,20514687.16,865.0,426.0,0.01,84229500.0,96815517.0,2501300.43,110979.0,48546.0,0.77,7368670300.0,8469735977.0,207756731.5,13480.0,6089.0,0.1,1575447500.0,1810859195.0,37009134.88,80.45,8,1.0,12.5,3.0,37.5,16,1,6.2,3,18.8,150,16,10.7,31,20.7,4,0.0,0.0,0,0.0,43,12,27.9,15,34.9,20,1,5.0,2,10.0,58,1.0,1.7,5,8.6,7,0.0,0.0,0.0,0.0,15,2,13.3,2,13.3,4.0,0.0,0.0,2.0,50.0,3,2,66.7,3,100.0,"Testa, M. (1), Burzichelli, J. (3)","Van Drew, J. (2)",18,0,0.0,1,5.6,29,5,17.2,10,34.5,131,55.08
Essex,34013,8,89468673,853374,105,0.94,809018.0,0.85,176880.0,6334.0,0.04,6574829397.87,110358442.2,25927.0,0.15,20619259504.13,426309885.0,69632.0,12912.0,0.07,6369494300.0,7493522705.88,185328906.23,35930.0,12782.0,0.07,9580452500.0,11271120588.0,224189727.5,442673.0,70972.0,0.4,31056173910.0,36536675188.0,829983887.5,251559.0,79577.0,0.45,54928263900.0,64621486941.0,1440596152.0,45.48,2,1.0,50.0,2.0,100.0,28,0,0.0,1,3.6,1039,213,20.5,478,46.0,30,3.0,10.0,10,33.3,141,25,17.7,43,30.5,21,5,23.8,8,38.1,337,14.0,4.2,50,14.8,7,2.0,28.6,5.0,71.4,11,1,9.1,2,18.2,8.0,5.0,62.5,8.0,100.0,5,0,0.0,2,40.0,"McKeon, J. (27), Burgess, R. (28), Ruiz, T. (29), Timberlake, B. (34), Corrado, K. (40)","Menendez, R. (8), Mclever. L (10), Sherril, M. (11)",40,6,15.0,14,35.0,64,5,7.8,18,28.1,25,5.04
Gloucester,34015,7,15892563,302621,53,0.22,271876.0,0.83,111886.0,3063.0,0.03,939177022.77,19778454.95,8857.0,0.08,2954693834.79,67232615.28,14578.0,6333.0,0.06,1653714530.0,1992427144.58,47458960.34,3983.0,2524.0,0.02,785680700.0,946603253.0,19773654.94,115873.0,47578.0,0.43,11211909495.0,13508324693.0,356177900.1,137417.0,55405.0,0.5,16293207550.0,19630370542.0,479129071.5,22.5,6,0.0,0.0,1.0,16.7,4,1,25.0,1,25.0,231,23,10.0,44,19.0,16,2.0,12.5,3,18.8,73,41,56.2,44,60.3,17,1,5.9,2,11.8,115,3.0,2.6,7,6.1,11,3.0,27.3,5.0,45.5,23,2,8.7,5,21.7,9.0,1.0,11.1,3.0,33.3,5,4,80.0,5,100.0,"Burzichelli, J. (3), Moriarty, P. (4), Cruz-Perez, N. (5)","Norcross, D. (1)",26,2,7.7,3,11.5,53,1,1.9,4,7.5,0,0
Hudson,34017,5,121553990,712029,171,0.78,695917.0,0.64,140272.0,31927.0,0.23,62615894868.48,684790848.5,44446.0,0.32,82404750736.19,914005314.3,35675.0,7219.0,0.05,7435231550.0,11617549296.88,161006459.75,148480.0,37044.0,0.26,43694805116.0,68273132994.0,743845590.8,414772.0,73330.0,0.52,33489995085.0,52328117320.0,802501289.0,94438.0,21744.0,0.16,14674938268.0,22929591044.0,289170048.3,128.46,0,0.0,0.0,0.0,0.0,24,7,29.2,8,33.3,902,437,48.4,572,63.4,27,7.0,25.9,9,33.3,214,110,51.4,136,63.6,21,16,76.2,19,90.5,197,46.0,23.4,54,27.4,16,9.0,56.2,11.0,68.8,18,8,44.4,10,55.6,4.0,3.0,75.0,4.0,100.0,5,4,80.0,4,80.0,"Ruiz, T. (29), McKnight, A. (31), Mukherji, R. (32), Stack, B. (33)","Menendez, R. (8)",23,3,13.0,5,21.7,52,13,25.0,16,30.8,0,0
Hunterdon,34019,6,27296680,129099,211,0.04,122995.0,0.88,51861.0,1836.0,0.04,550723202.08,11268791.36,4152.0,0.08,1590224929.85,34815893.43,523.0,165.0,0.0,44955602.0,51085911.36,1250535.48,7668.0,3987.0,0.08,1360485191.0,1546005899.0,33565357.95,7077.0,2314.0,0.04,800354242.0,909493457.0,23675576.39,107725.0,45393.0,0.88,18247388099.0,20735668294.0,453954108.2,90.51,14,0.0,0.0,0.0,0.0,2,0,0.0,0,0.0,126,17,13.5,32,25.4,13,1.0,7.7,4,30.8,42,27,64.3,28,66.7,16,1,6.2,2,12.5,65,0.0,0.0,2,3.1,6,1.0,16.7,1.0,16.7,5,2,40.0,2,40.0,3.0,2.0,66.7,2.0,66.7,15,7,46.7,8,53.3,"Turner, S. (15), Zwicker, A (16), Steinhardt, D. (23)","Kean, T. (7)",22,3,13.6,7,31.8,34,5,14.7,10,29.4,6,5.79
