County,FIPS Code,2018 Nonrenewal Rate,2019 Nonrenewal Rate,2020 Nonrenewal Rate,2021 Nonrenewal Rate,2022 Nonrenewal Rate,2023 Nonrenewal Rate,"% Change, 18-19","% Change, 19-20","% Change, 20-21","% Change, 21-22","% Change, 22-23","PCTent Change, 2018-2023"
Atlantic,34001,0.54703526,1.04504607,0.65325253,0.65178083,1.27853881,1.12946687,91.04,-37.49,-0.23,96.16,-11.66,106.47
Bergen,34003,0.48626307,1.00413561,0.85704986,0.56673488,0.74642414,0.80025288,106.5,-14.65,-33.87,31.71,7.21,64.57
Burlington,34005,0.50462879,0.90920899,0.53017572,0.39241769,0.64808607,0.61310859,80.17,-41.69,-25.98,65.15,-5.4,21.5
Camden,34007,0.5036594,1.0943863,0.59286239,0.41219756,0.71337651,0.62892083,117.29,-45.83,-30.47,73.07,-11.84,24.87
Cape May,34009,0.47520304,0.64278448,0.54120216,0.55855987,1.27359769,1.44672639,35.27,-15.8,3.21,128.01,13.59,204.44
Cumberland,34011,0.43257857,1.01010715,0.64445205,0.5739597,0.74236845,0.78056658,133.51,-36.2,-10.94,29.34,5.15,80.45
Essex,34013,0.6424461,0.98462659,0.77017057,0.63963864,1.05863928,0.93461278,53.26,-21.78,-16.95,65.51,-11.72,45.48
Gloucester,34015,0.44384262,0.79391345,0.48554245,0.34747623,0.53211538,0.54372451,78.87,-38.84,-28.44,53.14,2.18,22.5
Hudson,34017,0.4538349,1.23173809,1.150242,0.86119554,1.42512028,1.03684662,171.41,-6.62,-25.13,65.48,-27.24,128.46
Hunterdon,34019,0.36022204,0.7804367,0.60630178,0.40595399,0.90213231,0.68627451,116.65,-22.31,-33.04,122.23,-23.93,90.51
Mercer,34021,0.49780856,0.99684375,0.71028789,0.45218006,0.76490328,0.7044823,100.25,-28.75,-36.34,69.16,-7.9,41.52
Middlesex,34023,0.38622422,1.06030718,0.75689953,0.37498443,0.62152591,0.77788629,174.53,-28.62,-50.46,65.75,25.16,101.41
Monmouth,34025,0.36924273,0.67015089,0.48628436,0.77258885,1.33517367,0.90521679,81.49,-27.44,58.88,72.82,-32.2,145.15
Morris,34027,0.43155533,0.78370752,0.5781184,0.49342359,0.71725699,0.66014503,81.6,-26.23,-14.65,45.36,-7.96,52.97
Ocean,34029,0.45661308,0.82643581,0.62904691,0.57595724,0.90172851,0.91212669,80.99,-23.88,-8.44,56.56,1.15,99.76
Passaic,34031,0.44096404,1.27662376,1.07684705,0.47657436,0.80709697,0.75543215,189.51,-15.65,-55.74,69.35,-6.4,71.31
Salem,34033,0.67245385,0.87352344,0.57343665,0.5736685,0.63361494,0.73408429,29.9,-34.35,0.04,10.45,15.86,9.17
Somerset,34035,0.39593365,0.93233813,0.66970151,0.44270433,0.82991701,0.76616524,135.48,-28.17,-33.9,87.47,-7.68,93.51
Sussex,34037,0.50188206,0.74245928,0.63823023,0.41324039,0.63384313,0.69910515,47.94,-14.04,-35.25,53.38,10.3,39.3
Union,34039,0.53095324,0.96339338,0.6827194,0.50319299,0.81048054,0.77347583,81.45,-29.13,-26.3,61.07,-4.57,45.68
Warren,34041,0.35755984,0.86496753,0.6558358,0.36999664,0.74974147,0.62089637,141.91,-24.18,-43.58,102.63,-17.19,73.65
